1,720,3.0
1,1753,1.0
1,985,3.0
1,1199,3.0
1,1621,5.0
1,258,5.0
1,276,4.0
1,377,2.0
1,1787,5.0
1,1736,5.0
1,1071,5.0
1,1293,1.0
1,1781,4.0
1,378,2.0
1,953,4.0
1,1204,4.0
1,879,4.0
1,449,4.0
1,168,4.0
1,1756,2.0
2,952,5.0
2,1992,3.0
2,376,5.0
3,738,3.0
3,1627,4.0
3,1745,4.0
3,1208,4.0
3,1009,2.0
3,547,4.0
3,1769,4.0
3,1917,3.0
3,1409,3.0
3,169,4.0
3,4,2.0
3,378,4.0
4,12,3.0
5,178,2.0
5,1638,3.0
5,1566,3.0
5,1907,1.0
5,527,5.0
5,752,4.0
5,692,4.0
5,233,1.0
5,843,2.0
5,1435,4.0
5,713,5.0
5,512,3.0
5,1287,4.0
5,819,5.0
5,918,1.0
5,1061,4.0
5,531,4.0
5,1247,5.0
5,573,2.0
5,589,5.0
6,1172,1.0
6,15,3.0
6,524,3.0
6,368,4.0
6,1782,1.0
6,348,2.0
6,1505,3.0
6,998,4.0
6,1697,2.0
6,1998,4.0
6,602,5.0
6,1498,3.0
6,663,1.0
6,1834,3.0
6,1740,4.0
6,1717,4.0
7,1815,2.0
7,916,2.0
7,1515,3.0
7,1438,4.0
7,984,3.0
7,1148,2.0
7,1367,4.0
7,734,2.0
7,636,4.0
7,82,5.0
7,900,1.0
7,54,2.0
7,1976,5.0
7,199,5.0
7,1793,1.0
7,47,3.0
7,23,4.0
8,386,3.0
8,241,4.0
8,1291,1.0
8,129,4.0
8,1415,5.0
8,892,3.0
8,927,5.0
8,1813,1.0
8,1759,3.0
8,491,1.0
8,1170,3.0
8,1193,1.0
8,1995,1.0
8,1596,1.0
8,976,5.0
8,1556,4.0
8,1928,1.0
8,1284,5.0
8,611,2.0
8,132,5.0
9,983,2.0
9,1497,3.0
9,1588,1.0
9,845,2.0
9,1908,4.0
9,9,4.0
9,1499,3.0
9,1906,1.0
9,1581,3.0
9,1137,1.0
9,1529,2.0
10,568,4.0
10,1159,5.0
10,1345,2.0
10,1074,4.0
10,1175,5.0
11,3,4.0
11,1132,5.0
11,15,5.0
11,468,4.0
11,1724,5.0
11,1574,1.0
11,1721,1.0
11,1226,5.0
11,149,5.0
11,1316,5.0
11,1863,1.0
11,537,5.0
11,1528,2.0
11,1887,3.0
11,890,1.0
11,1544,4.0
11,1149,1.0
11,54,2.0
11,189,1.0
11,1339,4.0
12,1042,1.0
12,1868,4.0
12,372,1.0
12,1509,4.0
12,378,1.0
12,1672,3.0
12,359,5.0
12,1733,1.0
12,1745,2.0
12,178,3.0
12,650,4.0
12,434,5.0
12,422,5.0
13,1096,4.0
13,1568,1.0
13,144,5.0
13,1137,5.0
13,1909,1.0
13,430,5.0
13,862,1.0
13,1291,3.0
13,1091,1.0
13,1231,1.0
13,694,5.0
13,1245,2.0
13,870,2.0
13,1290,5.0
13,1668,3.0
13,80,1.0
13,1257,3.0
13,1036,1.0
13,636,1.0
13,1803,3.0
14,1222,5.0
14,1045,5.0
15,153,1.0
15,918,2.0
15,1255,4.0
15,95,4.0
15,515,5.0
15,1055,2.0
15,117,5.0
15,1571,3.0
15,547,2.0
16,4,5.0
